City,Country,AccentCity,Region, Population ,Latitude,Longitude
edmonton,ca,Edmonton,1," 822,319 ",53.55,-113.5
duque de caxias,br,Duque de Caxias,21," 818,339 ",-22.790321,-43.325009
la paz,bo,La Paz,4," 812,819 ",-16.5,-68.15
nanning,cn,Nanning,16," 803,788 ",22.816667,108.316667
marseille,fr,Marseille,B8," 792,823 ",43.285413,5.37606
anyang,cn,Anyang,9," 781,129 ",36.099444,114.328889
hohhot,cn,Hohhot,20," 774,477 ",40.810556,111.652222
valencia,es,Valencia,60," 769,897 ",39.466667,-0.366667
xining,cn,Xining,6," 767,531 ",36.616667,101.766667
liuzhou,cn,Liuzhou,16," 763,168 ",24.312582,109.389157
natal,br,Natal,22," 763,057 ",-5.783333,-35.216667
qinhuangdao,cn,Qinhuangdao,10," 759,718 ",39.931667,119.588333
hengyang,cn,Hengyang,11," 759,602 ",26.888056,112.615
taian,cn,Taian,25," 750,340 ",36.185278,117.12
teresina,br,Teresina,20," 744,526 ",-5.083333,-42.816667
xinxiang,cn,Xinxiang,9," 743,601 ",35.308889,113.867222
sao bernardo do campo,br,S„o Bernardo do Campo,27," 743,386 ",-23.7,-46.55
hegang,cn,Hegang,8," 743,307 ",47.4,130.366667
campo grande,br,Campo Grande,11," 729,164 ",-20.45,-54.616667
athens,gr,Athens,35," 729,139 ",37.9833333,23.7333333
cucuta,co,C˙cuta,21," 721,406 ",7.893907,-72.507821
langfang,cn,Langfang,10," 720,119 ",39.509722,116.694722
ningbo,cn,Ningbo,2," 719,867 ",29.878186,121.549453
yantai,cn,Yantai,25," 719,332 ",37.533333,121.4
zhuzhou,cn,Zhuzhou,11," 709,358 ",27.691868,113.152137
jaboatao,br,Jaboat„o,30," 702,632 ",-8.116667,-35.016667
rajshahi,bd,Rajshahi,81," 700,206 ",24.3666667,88.6
sarajevo,ba,Sarajevo,1," 696,726 ",43.85,18.3833333
zhangjiakou,cn,Zhangjiakou,10," 692,602 ",40.81,114.879444
cotonou,bj,Cotonou,14," 690,584 ",6.35,2.4333333
zigong,cn,Zigong,32," 689,961 ",29.341622,104.776887
fuxin,cn,Fuxin,19," 689,050 ",42.015556,121.658889
liaoyang,cn,Liaoyang,19," 687,890 ",41.226111,123.056111
sevilla,es,Sevilla,51," 686,647 ",37.382408,-5.976133
la plata,ar,La Plata,1," 684,318 ",-34.921454,-57.954533
bangui,cf,Bangui,18," 684,190 ",4.3666667,18.5833333
osasco,br,Osasco,27," 677,869 ",-23.566667,-46.783333
zhangdian,cn,Zhangdian,25," 669,770 ",36.790556,118.063333
puyang,cn,Puyang,9," 666,322 ",35.702778,115.005278
nantong,cn,Nantong,4," 666,251 ",32.030278,120.874722
mudanjiang,cn,Mudanjiang,8," 665,915 ",44.583333,129.6
santo andre,br,Santo AndrÈ,27," 662,387 ",-23.666667,-46.516667
hamilton,ca,Hamilton,8," 653,637 ",43.25,-79.833333
joao pessoa,br,Jo„o Pessoa,17," 650,896 ",-7.116667,-34.866667
shaoyang,cn,Shaoyang,11," 649,452 ",26.965893,111.241376
guilin,cn,Guilin,16," 649,352 ",25.281944,110.286389
frankfurt,de,Frankfurt,5," 648,034 ",50.116667,8.683333
wahran,dz,Wahran,9," 646,025 ",35.6911111,-0.6416667
mar del plata,ar,Mar del Plata,1," 645,771 ",-38.002278,-57.557539
quebec,ca,Quebec,10," 645,623 ",46.8,-71.25
zhanjiang,cn,Zhanjiang,30," 637,790 ",21.281452,110.342713
zaragoza,es,Zaragoza,52," 635,509 ",41.64531,-0.884861
zhenjiang,cn,Zhenjiang,4," 632,552 ",32.209167,119.434167
winnipeg,ca,Winnipeg,3," 632,069 ",49.883333,-97.166667
dandong,cn,Dandong,19," 631,973 ",40.129167,124.394722
shaoguan,cn,Shaoguan,30," 628,749 ",24.8,113.583333
yancheng,cn,Yancheng,4," 628,441 ",33.385556,120.125278
foshan,cn,Foshan,30," 627,348 ",23.026771,113.131483
contagem,br,Contagem,15," 627,132 ",-19.916667,-44.1
jibuti,dj,Jibuti,3," 623,891 ",11.595,43.1480556
haikou,cn,Haikou,31," 615,835 ",20.045833,110.341667
sao jose dos campos,br,S„o JosÈ dos Campos,27," 613,776 ",-23.183333,-45.883333
taizhou,cn,Taizhou,4," 612,356 ",32.493333,119.910627
xingtai,cn,Xingtai,10," 611,739 ",37.063056,114.494167
glasgow,gb,Glasgow,V2," 610,271 ",55.833333,-4.25
jinzhou,cn,Jinzhou,19," 604,269 ",41.107778,121.141667
abu dhabi,ae,Abu Dhabi,1," 603,687 ",24.466667,54.366667
luancheng,cn,Luancheng,10," 597,130 ",37.879167,114.651667
dortmund,de,Dortmund,7," 594,255 ",51.516667,7.45
stuttgart,de,Stuttgart,1," 591,688 ",48.766667,9.183333
yingkou,cn,Yingkou,19," 591,159 ",40.637318,122.502508
zhangzhou,cn,Zhangzhou,7," 589,831 ",24.513333,117.655556
belfast,gb,Belfast,R3," 585,994 ",54.583333,-5.933333
xiamen,cn,Xiamen,7," 578,337 ",24.479794,118.081869
libreville,ga,Libreville,1," 578,156 ",0.3833333,9.45
dusseldorf,de,D¸sseldorf,7," 577,139 ",51.216667,6.766667
kaifeng,cn,Kaifeng,9," 576,915 ",34.744167,114.418611
essen,de,Essen,7," 576,914 ",51.45,7.016667
bengbu,cn,Bengbu,1," 576,648 ",32.940833,117.360833
shihezi,cn,Shihezi,13," 572,772 ",44.3,86.033333
bouake,ci,BouakÈ,90," 572,149 ",7.693846,-5.030307
bucaramanga,co,Bucaramanga,26," 571,827 ",7.125393,-73.119804
asmara,er,Asmara,0," 563,948 ",15.3333333,38.9333333
uberlandia,br,Uberl‚ndia,15," 563,545 ",-18.916667,-48.3
sorocaba,br,Sorocaba,27," 558,874 ",-23.483333,-47.45
helsinki,fi,Helsinki,13," 558,457 ",60.175556,24.934167
malaga,es,M·laga,51," 557,875 ",36.726666,-4.434802
santiago,do,Santiago,25," 555,911 ",19.45,-70.7
santiago de cuba,cu,Santiago de Cuba,15," 555,878 ",20.0247222,-75.8219444
huaiyin,cn,Huaiyin,4," 555,230 ",33.588611,119.019167
ribeirao preto,br,Ribeir„o PrÍto,27," 551,278 ",-21.166667,-47.8
jiamusi,cn,Jiamusi,8," 549,549 ",46.833333,130.35
salta,ar,Salta,17," 548,288 ",-24.785896,-65.411664
neijiang,cn,Neijiang,32," 546,854 ",29.583536,105.06216
bremen,de,Bremen,3," 546,429 ",53.083333,8.8
sharjah,ae,Sharjah,6," 543,942 ",25.35731,55.403304
maanshan,cn,Maanshan,1," 540,198 ",31.695678,118.498248
yangzhou,cn,Yangzhou,4," 539,715 ",32.397222,119.435833
kisangani,cd,Kisangani,9," 539,164 ",0.516667,25.2
port said,eg,Port Said,19," 538,377 ",31.2666667,32.3
tanggu,cn,Tanggu,28," 535,298 ",39.021111,117.646944
jiangmen,cn,Jiangmen,30," 532,419 ",22.583333,113.083333
yueyang,cn,Yueyang,11," 528,140 ",29.140833,113.111111
cangzhou,cn,Cangzhou,10," 527,681 ",38.316667,116.866667
cuiaba,br,Cuiab·,14," 521,961 ",-15.583333,-56.083333
hanover,de,Hanover,6," 519,144 ",52.366667,9.716667
changde,cn,Changde,11," 517,780 ",29.046378,111.678304
jiaozuo,cn,Jiaozuo,9," 517,540 ",35.239722,113.233056
wuhu,cn,Wuhu,1," 507,524 ",31.14607,118.57069
duisburg,de,Duisburg,7," 505,271 ",51.433333,6.75
zhuhai,cn,Zhuhai,30," 501,199 ",22.276944,113.567778
gold coast,au,Gold Coast,4," 501,175 ",-28.00029,153.430878
shashi,cn,Shashi,12," 498,780 ",30.307222,112.244722
newcastle,au,Newcastle,2," 497,961 ",-32.927792,151.784485
nuremberg,de,Nuremberg,2," 497,593 ",49.447778,11.068333
leipzig,de,Leipzig,13," 492,637 ",51.3,12.333333
aracaju,br,Aracaju,28," 490,184 ",-10.916667,-37.066667
suez,eg,Suez,15," 488,124 ",29.9666667,32.55
feira de santana,br,Feira de Santana,5," 481,926 ",-12.25,-38.95
gomel,by,Gomel,2," 481,000 ",52.4416667,30.9833333
dresden,de,Dresden,13," 480,801 ",51.05,13.75
yichang,cn,Yichang,12," 476,725 ",30.77135,111.321458
yinchuan,cn,Yinchuan,21," 475,101 ",38.468056,106.273056
maoming,cn,Maoming,30," 473,251 ",21.65,110.9
londrina,br,Londrina,18," 471,836 ",-23.3,-51.15
jiaojiang,cn,Jiaojiang,2," 470,804 ",28.680278,121.442778
juiz de fora,br,Juiz de Fora,15," 470,201 ",-21.751667,-43.352778
san juan,ar,San Juan,18," 469,958 ",-31.5375,-68.536389
liverpool,gb,Liverpool,H8," 468,946 ",53.416667,-3
zunyi,cn,Zunyi,18," 466,292 ",27.543056,106.823056
belford roxo,br,Belford Roxo,21," 466,101 ",-22.761995,-43.404654
jiaxing,cn,Jiaxing,2," 466,101 ",30.752198,120.749997
lyon,fr,Lyon,B9," 463,700 ",45.748457,4.846711
kananga,cd,Kananga,3," 463,556 ",-5.895833,22.417778
xiangfan,cn,Xiangfan,12," 462,956 ",32.042203,112.144794
panzhihua,cn,Panzhihua,32," 461,513 ",26.547902,101.705386
joinville,br,Joinville,26," 461,312 ",-26.3,-48.833333
antwerp,be,Antwerp,1," 459,805 ",51.216667,4.416667
niteroi,br,NiterÛi,21," 456,461 ",-22.90214,-43.130301
hengshui,cn,Hengshui,10," 456,356 ",37.732222,115.701111
santa fe,ar,Santa Fe,21," 456,044 ",-31.629484,-60.701036
leeds,gb,Leeds,H3," 455,124 ",53.8,-1.583333
